100 0.730052
200 1.428200
300 2.099848
400 2.770168
500 3.441393
600 4.111589
700 4.781790
800 5.452217
900 6.123140
1000 6.795587
1100 7.464396
1200 8.134411
1300 8.805491
1400 9.475733
1500 10.146238
1600 11.728476
1700 14.445737
1800 16.861075
1900 17.801566
2000 18.733800
2100 19.656377
2200 20.598314
2300 21.522057
2400 22.459679
2500 23.403755
2600 24.314792
2700 25.255849
2800 26.200019
2900 27.111358
3000 28.050811
3100 28.993462
3200 29.906943
3300 30.852755
3400 31.782058
3500 32.702829
3600 33.643371
3700 34.586086
3800 35.497771
3900 41.319029
4000 50.028192
4100 55.652885
4200 57.012923
4300 58.365654
4400 59.722962
4500 61.084192
4600 62.431654
4700 63.792308
4800 65.134962
4900 66.500000
