100 0.724269
200 1.373364
300 2.016066
400 2.659838
500 3.370651
600 4.027336
700 4.685897
800 5.571065
900 6.260057
1000 6.946915
1100 14.269038
1200 15.549096
1300 17.014830
1400 18.321264
1500 19.625736
1600 21.281566
1700 22.615755
1800 24.710226
1900 26.118736
2000 27.492212
2100 40.898529
2200 42.845943
2300 44.855857
2400 47.173914
2500 49.210222
2600 51.849423
2700 53.913680
2800 55.943346
2900 59.536154
3000 61.694923
3100 80.625600
3200 83.234118
3300 85.967235
3400 89.253176
3500 92.001294
3600 95.728941
3700 98.545000
3800 101.254714
3900 106.515333
4000 109.515571
4100 133.588091
4200 136.853091
4300 140.209364
4400 144.431000
4500 147.964818
4600 151.494200
4700 156.447400
4800 159.962900
4900 167.119556
