100 0.144767
200 0.145581
300 0.146931
400 0.150007
500 0.153607
600 0.167024
700 0.231445
800 0.241750
900 0.263757
1000 0.324286
1100 0.347771
1200 0.371117
1300 0.432840
1400 0.467505
1500 0.537178
1600 0.608038
1700 0.659197
1800 0.741136
1900 0.777645
2000 0.861487
2100 0.929506
2200 1.026432
2300 1.065606
2400 1.175391
2500 1.290932
2600 1.355831
2700 1.475168
2800 1.541503
2900 1.667147
3000 1.736967
3100 1.880797
3200 2.018202
3300 2.096834
3400 2.255109
3500 2.337018
3600 2.492470
3700 2.578992
3800 2.753045
3900 2.844376
4000 3.027756
4100 3.212054
4200 3.303349
4300 3.498510
4400 3.598768
4500 3.803378
4600 3.916275
4700 4.120834
4800 4.335210
4900 4.445737
