100 0.347160
200 0.347370
300 0.356495
400 0.356361
500 0.356833
600 0.357057
700 0.356897
800 0.627710
900 0.488887
1000 0.464822
1100 0.465132
1200 0.464783
1300 0.625196
1400 0.624931
1500 0.624708
1600 0.935374
1700 0.936066
1800 1.098336
1900 1.095743
2000 1.096327
2100 1.148255
2200 1.106636
2300 1.103383
2400 1.575860
2500 1.576382
2600 1.636822
2700 1.633738
2800 1.636794
2900 2.011196
3000 2.018340
3100 2.154396
3200 2.147383
3300 2.150462
3400 2.609774
3500 2.617589
3600 2.727215
3700 2.726679
3800 2.726840
3900 3.198802
4000 3.204084
4100 3.670086
4200 3.669585
4300 3.669710
4400 4.074679
4500 4.075462
4600 4.076962
4700 4.293642
4800 4.294670
4900 4.799213
