100 0.096856
200 0.115891
300 0.136609
400 0.191145
500 0.245895
600 0.304876
700 0.379038
800 0.476027
900 0.574178
1000 0.682881
1100 0.799407
1200 0.950195
1300 1.092944
1400 1.244342
1500 1.407134
1600 1.610030
1700 1.796397
1800 1.993579
1900 2.201016
2000 2.458092
2100 2.687231
2200 2.927976
2300 3.179112
2400 3.487619
2500 3.762963
2600 4.048931
2700 4.343472
2800 4.704433
2900 5.024091
3000 5.356444
3100 5.697562
3200 6.106681
3300 6.471804
3400 6.846556
3500 7.232455
3600 7.696551
3700 8.103500
3800 8.523754
3900 8.954326
4000 9.470427
4100 9.924348
4200 10.388535
4300 10.863671
4400 11.430394
4500 11.927652
4600 12.433288
4700 12.954571
4800 13.574405
4900 14.119342
